% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Aug 14 2017, 13:39
% Table:              Velocity Liner - V Liner (aveop1(w))
% Time (s)               aveop1(w) (m/s)
0.0029347826086956524    0.004318511232470467
0.002956521739130435     0.029429183740261527
0.0029782608695652175    0.04339935216260345
0.003                    0.04107176972897178
0.0030217391304347826    0.023187997862612435
0.0030434782608695656    -0.0036376630833049686
0.003065217391304348     -0.029427716819748817
0.0030869565217391307    -0.04388790169045151
0.0031086956521739133    -0.04164451135060345
0.003130434782608696     -0.02273160448116319
0.0031521739130434784    0.004246764514821826
0.003173913043478261     0.02927048021369624
0.003195652173913044     0.04336593099524659
0.0032173913043478265    0.041152853183464316
0.003239130434782609     0.023183225643732756
0.0032608695652173916    -0.003664459191624286
